Course-type,Title,Institution,City,Subject,Language,Language level,Beginning,Application deadline,Preparation for,Preparation for subject groups,Teaching language,Financial support,Specific support for int. students and doctoral candidates,Structured research and supervision,Scholarships,Fully online,Hybrid,Partly online,Fully on-site,Costs (Taka),Tuition fees (Taka per semester),Duration (Semesters),Duration (Months),Duration (Years),Course enroll End Date,Course enroll Start Date,Registration Deadline
Bachelor's degree , BA in International Management , Technical University of Applied Sciences Würzburg-Schweinfurt (THWS) , Würzburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , BA Indology / South Asian Studies , University of Tübingen , Tübingen,Other / Non-European Languages and Cultural Studies,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,6.0,36.0,3.0,,,
Bachelor's degree , BA Interior Architecture / Interior Design , Berlin International University of Applied Sciences , Berlin,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , BA International Business – Intercultural Studies (IBIS) , Heilbronn University of Applied Sciences , Heilbronn,Business and Economics,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,Yes,No,,,7.0,42.0,3.5,,,
Bachelor's degree , BA International Management , Deggendorf Institute of Technology , Deggendorf,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , BA International Management Studies in the Baltic Sea Region (BMS) , Stralsund University of Applied Sciences , Stralsund,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree , BA International Tourism Management / Health & Medical Tourism , Deggendorf Institute of Technology , Pfarrkirchen,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , BA Management in International Business , University of Applied Management Studies , Mannheim,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,428446.2,6.0,36.0,3.0,,,
Bachelor's degree , BA Social Sciences: Social and Political Change / BA Sozialwissenschaften: Social and Political Change , Europa-Universität Flensburg , Flensburg,Social Science,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor Electrical Engineering/Elektrotechnik (BEng) , HTW Dresden - University of Applied Sciences , Dresden,Electrical Engineering,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree , Bachelor in Business Administration (BSc) , Frankfurt School of Finance & Management , Frankfurt am Main,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor in Business Administration – International Management , Kühne Logistics University , Hamburg,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,773381.7,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor in Computational Business Analytics (BSc) , Frankfurt School of Finance & Management , Frankfurt am Main,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,931931.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor in European Economic Studies (BSc EES) , University of Bamberg , Bamberg,Business and Economics,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree ," Bachelor in Management, Philosophy and Economics (BSc) ", Frankfurt School of Finance & Management , Frankfurt am Main,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,931931.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in Animation and Game , Darmstadt University of Applied Sciences , Dieburg,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in Business Management and Psychology (BMP) , Furtwangen University , Villingen-Schwenningen,Business and Economics,German,,Summer semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in English Literature and Culture , Johannes Gutenberg University Mainz , Mainz,"English Studies, American Studies",English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Arts in European Studies / Bachelor of Arts in European Studies (Major) , University of Passau , Passau,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Arts in Fashion & Design Management , Hochschule Fresenius - University of Applied Sciences , Berlin,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,544635.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in Fashion Design , Hochschule Fresenius - University of Applied Sciences , Berlin,Design,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,544635.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in Global Economics and Management , Constructor University , Bremen,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree ," Bachelor of Arts in Global Sustainability: Climate, Justice, Transformation ", Witten/Herdecke University , Witten,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Arts in Governance and Public Policy , University of Passau , Passau,Political Science,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree ," Bachelor of Arts in International Business (Internationale Betriebswirtschaft, IBW) ", Furtwangen University , Villingen-Schwenningen,Business and Economics,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in International Business Administration , Constructor University , Bremen,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Arts in International Business Management (IBM) , Furtwangen University , Villingen-Schwenningen,Business and Economics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Arts in International Cultural and Business Studies , University of Passau , Passau,Languages and Cultural Studies in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Arts in International Relations: Politics and History , Constructor University , Bremen,Social Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Arts in North American Studies , Freie Universität Berlin , Berlin,"English Studies, American Studies",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Engineering in Chemical Engineering , Technical University Munich , Singapore,Chemistry,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree , Bachelor of Engineering in Electrical Engineering , FH Aachen University of Applied Sciences , Jülich,Electrical Engineering,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Engineering in Electronics & Data Engineering , Technical University Munich , Singapore,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,8.0,48.0,4.0,,,
Bachelor's degree , Bachelor of Engineering in Engineering Physics , Carl von Ossietzky University of Oldenburg , Oldenburg,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Engineering in Mechanical Engineering , FH Aachen University of Applied Sciences , Jülich,Mechanical Engineering / Process Engineering,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Engineering in Medical Engineering , FH Aachen University of Applied Sciences , Aachen,Engineering in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Engineering in Physical Engineering , FH Aachen University of Applied Sciences , Jülich,Engineering in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Intercultural German Studies (Bachelor Interkulturelle Germanistik) , University of Bayreuth , Bayreuth,Languages and Cultural Studies in general,German,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Applied Chemistry , FH Aachen University of Applied Sciences , Jülich,Chemistry,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Biochemistry and Cell Biology (BCCB) , Constructor University , Bremen,Biology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Biomedical Engineering , Technische Universität Ilmenau , Ilmenau,Engineering in general,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,Yes,No,,,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Science in Biotechnology , FH Aachen University of Applied Sciences , Jülich,"Mathematics, Natural Sciences in general",German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Business Administration and Economics , University of Passau , Passau,Business and Economics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Chemistry and Biotechnology , Constructor University , Bremen,Chemistry,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Computer Science , Constructor University , Bremen,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Computer Science and Software Engineering , Constructor University , Bremen,Computer Science,English,,Winter semester,No application deadline,,,,No,No,No,No,Yes,No,No,No,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Digital Transformation in Business and Society , University of Passau , Passau,"Law, Economics and Social Sciences in general",German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Earth Sciences and Sustainable Management of Environmental Resources (ESSMER) , Constructor University , Bremen,Earth Sciences (excluding Geography),English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Electrical and Computer Engineering , Constructor University , Bremen,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Industrial Engineering & Management , Constructor University , Bremen,Industrial Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Integrated Social and Cognitive Psychology , Constructor University , Bremen,Psychology,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in International Engineering (IEB) , Furtwangen University , Villingen-Schwenningen,Industrial Engineering,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,181545.0,7.0,42.0,3.5,,,
Bachelor's degree , Bachelor of Science in International Wine Business , Hochschule Geisenheim University , Geisenheim,"Agriculture, Food and Beverage Technology",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Mathematics , Technical University of Darmstadt , Darmstadt,Mathematics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Mathematics with Economics , Technical University of Darmstadt , Darmstadt,Mathematics,German,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
Bachelor's degree ," Bachelor of Science in Mathematics, Modelling and Data Analytics ", Constructor University , Bremen,Mathematics,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Physics and Data Science , Constructor University , Bremen,"Physics, Astronomy",English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Robotics and Intelligent Systems , Constructor University , Bremen,Electrical Engineering,English,,Winter semester,No application deadline,,,,No,No,No,No,No,No,No,Yes,,1210300.0,6.0,36.0,3.0,,,
Bachelor's degree , Bachelor of Science in Social Data Science , Witten/Herdecke University , Witten,Business and Economics,English,,"Winter semester, Summer semester",No application deadline,,,,No,No,No,No,No,No,No,Yes,,,6.0,36.0,3.0,,,
